Tissue_ID	 Enrichment        	 Enrichment_p          	 Tissue_Name
Franke.38	 8.901995540907619 	 4.053950344517395e-11 	 A15.145.300.Fetal.Blood
Franke.53	 8.57876248067995  	 3.307146644100031e-15 	 A08.186.211.730.317.357.Hypothalamus
Franke.50	 8.491377087710552 	 5.087124916620368e-12 	 A11.872.378.Hematopoietic.Stem.Cells
Franke.31	 8.262186087576005 	 1.2154439725575508e-13	 A10.272.497.Epidermis
Franke.5 	 8.17079536000022  	 8.993130078246373e-13 	 A11.118.637.555.567.562.B.Lymphocytes
Franke.9 	 8.167515228906288 	 1.553338021574943e-10 	 A15.145.Blood
Franke.11	 8.15090880003938  	 9.134781536819612e-11 	 A15.145.229.Blood.Cells
Franke.30	 8.125167310465525 	 2.354000565707337e-11 	 A11.436.Epithelial.Cells
Franke.51	 8.056611015678955 	 4.2773461067418806e-11	 A03.556.249.124.Ileum
Franke.12	 8.015909023674606 	 5.950056003711571e-09 	 A05.810.890.Urinary.Bladder
Franke.28	 8.014324837022208 	 2.3450085034644162e-14	 A08.186.211.730.317.Diencephalon
Franke.52	 7.89294036957201  	 1.1165988596902995e-10	 A15.382.Immune.System
Franke.22	 7.887603653526304 	 1.1292662414012412e-10	 A03.556.249.249.356.Colon
Franke.7 	 7.862966954259884 	 8.949641169046821e-11 	 A15.378.316.Bone.Marrow.Cells
Franke.26	 7.744128402824239 	 2.318586555503161e-11 	 A14.549.167.Dentition
Franke.37	 7.696932800506143 	 2.398108959397264e-09 	 A05.360.319.114.373.Fallopian.Tubes
Franke.18	 7.582483543740262 	 3.2776970403611714e-11	 A03.556.249.249.209.Cecum
Franke.36	 7.578184411552705 	 1.0158433887907377e-15	 A09.371.Eye
Franke.21	 7.546152969770621 	 8.605727389580648e-09 	 A05.360.319.679.256.Cervix.Uteri
Franke.2 	 7.519253619513967 	 1.1290208144978924e-15	 A06.407.071.Adrenal.Glands
Franke.34	 7.443651525027533 	 3.6965688686873477e-10	 A06.407.Endocrine.Glands
Franke.1 	 7.44231331041147  	 4.839627713045156e-13 	 A06.407.071.140.Adrenal.Cortex
Franke.29	 7.440966288740736 	 1.444593523812645e-12 	 A10.272.Epithelium
Franke.40	 7.426033151538858 	 1.9284165856075454e-09	 A06.407.312.Gonads
Franke.27	 7.373428658012406 	 2.0055985926980628e-11	 A15.382.812.260.Dendritic.Cells
Franke.32	 7.339692753216339 	 3.6307231633483256e-11	 A03.556.875.500.Esophagus
Franke.8 	 7.3343647841766   	 1.4727516166452846e-13	 A07.231.Blood.Vessels
Franke.20	 7.333083614113686 	 7.673438507550957e-12 	 A02.835.232.834.151.Cervical.Vertebrae
Franke.44	 7.261647440036057 	 2.4905241464134883e-09	 A05.360.319.Genitalia..Female
Franke.10	 7.239863732420025 	 1.1788441055876475e-14	 A15.145.229.188.Blood.Platelets
Franke.25	 7.209201554756301 	 6.091050847488824e-12 	 A11.329.Connective.Tissue.Cells
Franke.33	 6.915433499457082 	 1.3346899077018014e-10	 A05.360.319.679.490.Endometrium
Franke.43	 6.8926049559294364	 1.0026254115406576e-10	 A05.360.Genitalia
Franke.4 	 6.864618275910911 	 1.7548569576594352e-14	 A07.231.114.Arteries
Franke.42	 6.834584759316903 	 9.761894063518622e-11 	 A05.360.490.Germ.Cells
Franke.19	 6.822601080187745 	 9.489114351801708e-11 	 A10.615.284.473.Chorion
Franke.45	 6.793947496187695 	 5.1883107740530015e-14	 A05.360.444.Genitalia..Male
Franke.39	 6.709526124921493 	 9.312953496864691e-11 	 A11.329.228.Fibroblasts
Franke.41	 6.64086479332656  	 5.6049360498932144e-14	 A11.436.329.Granulosa.Cells
Franke.17	 6.543555028172431 	 2.9893876315344625e-14	 A02.165.Cartilage
Franke.23	 6.531531521660527 	 6.864097201659231e-13 	 A10.165.450.300.Cicatrix
Franke.49	 6.456746584059486 	 2.579064679803738e-16 	 A07.541.560.Heart.Ventricles
Franke.3 	 6.351807888775468 	 6.897801696264529e-14 	 A07.541.510.110.Aortic.Valve
Franke.47	 6.3149275566511545	 3.062057458835006e-16 	 A07.541.Heart
Franke.48	 6.20506134634061  	 7.50955219904541e-17  	 A07.541.358.Heart.Atria
Franke.35	 5.952236597340587 	 8.793367051487712e-21 	 A08.186.211.730.885.287.500.270.Frontal.Lobe
Franke.6 	 5.798302089220075 	 2.1687066216057383e-21	 A08.186.211.730.885.287.249.Basal.Ganglia
Franke.15	 5.761282815289173 	 4.124208994784851e-21 	 A08.186.211.132.810.428.200.Cerebellum
Franke.24	 5.730495110800075 	 6.9303663933387e-21   	 A08.186.211.730.885.287.249.487.Corpus.Striatum
Franke.13	 5.623623494251529 	 2.1671352296025093e-22	 A08.186.211.132.Brain.Stem
Franke.14	 5.110404423583875 	 5.991623120365178e-26 	 A08.186.211.Brain
Franke.46	 5.065364486632502 	 9.157073643992735e-26 	 A08.186.211.464.405.Hippocampus
Franke.16	 5.036676946474588 	 8.049982858332676e-26 	 A08.186.211.730.885.287.500.Cerebral.Cortex
