Tissue_ID	Enrichment	Enrichment_p	Tissue_Name
GTEx.53	6.928446319048709	1.5755097016968693e-08	Whole_Blood
GTEx.43	6.768444968253536	2.9128409841880653e-15	Prostate
GTEx.47	6.755696460748649	3.5193803057536774e-12	Spleen
GTEx.44	6.363701288719224	3.742694435808215e-14	Skin_Not_Sun_Exposed_(Suprapubic)
GTEx.45	6.29202514209718	1.5340374477529035e-14	Skin_Sun_Exposed_(Lower_leg)
GTEx.27	6.273266557782811	7.927666055199552e-14	Colon_Transverse
GTEx.29	6.241534993440332	1.272849890338086e-15	Esophagus_Mucosa
GTEx.3	6.236813691538624	3.2376192738301767e-10	Adrenal_Gland
GTEx.35	6.221017105514444	1.148642227093235e-14	Liver
GTEx.46	6.192202458117272	2.124646707545325e-11	Small_Intestine_Terminal_Ileum
GTEx.42	6.172160478104479	7.521646128952659e-13	Pituitary
GTEx.48	6.168424222293276	1.4025713140375978e-13	Stomach
GTEx.31	6.152717713285429	1.23009140284627e-10	Fallopian_Tube
GTEx.22	6.099064957759909	1.0833940101239929e-13	Cells_EBV-transformed_lymphocytes
GTEx.41	6.068047659522488	6.69271339586386e-14	Pancreas
GTEx.40	6.063850304913714	5.869434937782244e-14	Ovary
GTEx.34	5.998234084878635	5.082864342274723e-12	Kidney_Cortex
GTEx.50	5.983501394205965	1.9888683317351855e-14	Thyroid
GTEx.51	5.940521627864798	6.372114016106583e-17	Uterus
GTEx.25	5.8905839141248695	2.620440667406176e-11	Cervix_Endocervix
GTEx.24	5.87194073251024	1.2110418121316005e-15	Cervix_Ectocervix
GTEx.37	5.828696053488423	2.065533566440133e-14	Minor_Salivary_Gland
GTEx.38	5.827664685059345	1.1562883672439805e-18	Muscle_Skeletal
GTEx.52	5.82597311972979	4.363465365413933e-17	Vagina
GTEx.49	5.708861571700278	2.0676918527574306e-13	Testis
GTEx.26	5.607051283257176	4.949138935159733e-18	Colon_Sigmoid
GTEx.28	5.601524333233415	2.133178732341144e-18	Esophagus_Gastroesophageal_Junction
GTEx.36	5.5644213240187845	4.725256446366643e-12	Lung
GTEx.23	5.557475122082193	7.938378481204392e-13	Cells_Transformed_fibroblasts
GTEx.30	5.550081140189578	5.390223743221594e-21	Esophagus_Muscularis
GTEx.2	5.37144425011286	4.5292506442612025e-12	Adipose_Visceral_(Omentum)
GTEx.7	5.323585148299106	1.307011098530792e-17	Bladder
GTEx.21	5.321066612871264	2.8222522151742235e-14	Breast_Mammary_Tissue
GTEx.33	5.315738035003928	1.116259099302534e-20	Heart_Left_Ventricle
GTEx.39	5.286772955077375	1.9826123139970388e-19	Nerve_Tibial
GTEx.5	5.234045411442419	2.7769179117016887e-18	Artery_Coronary
GTEx.4	5.20191368771025	1.8463176157527386e-17	Artery_Aorta
GTEx.12	5.107120735076784	2.0757549823135332e-20	Brain_Cerebellum
GTEx.1	5.10473286286438	4.718032269146914e-15	Adipose_Subcutaneous
GTEx.32	5.089574462817044	4.641123831813742e-19	Heart_Atrial_Appendage
GTEx.11	5.017873963055089	2.72578304121689e-21	Brain_Cerebellar_Hemisphere
GTEx.6	4.897431894978726	2.001175386054793e-16	Artery_Tibial
GTEx.19	4.467037648457036	2.4262896446100503e-26	Brain_Spinal_cord_(cervical_c-1)
GTEx.10	4.436683494503973	1.8951372318592787e-28	Brain_Caudate_(basal_ganglia)
GTEx.18	4.433489392558987	1.7850931525880741e-29	Brain_Putamen_(basal_ganglia)
GTEx.17	4.425724645751017	1.697143478519571e-28	Brain_Nucleus_accumbens_(basal_ganglia)
GTEx.13	4.410658251543615	9.680527486977446e-28	Brain_Cortex
GTEx.20	4.3547296976462	5.8131411370459394e-27	Brain_Substantia_nigra
GTEx.16	4.301008448106805	4.407538468313239e-28	Brain_Hypothalamus
GTEx.9	4.2679669024808815	1.6127237365214653e-27	Brain_Anterior_cingulate_cortex_(BA24)
GTEx.8	4.261824621407644	1.5705689458237474e-29	Brain_Amygdala
GTEx.14	4.260947290321382	1.1479122418519037e-27	Brain_Frontal_Cortex_(BA9)
GTEx.15	4.243606107611449	9.186136885744215e-28	Brain_Hippocampus
