GTEx_tissue	0
Adipose_Subcutaneous	UBERON_0002190
Adipose_Visceral_Omentum	UBERON_0010414
Adrenal_Gland	UBERON_0002369
Artery_Aorta	UBERON_0001496
Artery_Coronary	UBERON_0001621
Artery_Tibial	UBERON_0007610
Bladder         UBERON_0001255	
Brain_Amygdala	UBERON_0001876
Brain_Anterior_cingulate_cortex_BA24	UBERON_0009835
Brain_Caudate_basal_ganglia	UBERON_0001873
Brain_Cerebellar_Hemisphere	UBERON_0002037
Brain_Cerebellum	UBERON_0002037
Brain_Cortex	UBERON_0001870
Brain_Frontal_Cortex_BA9	UBERON_0009834
Brain_Hippocampus	UBERON_0001954
Brain_Hypothalamus	UBERON_0001898
Brain_Nucleus_accumbens_basal_ganglia	UBERON_0001882
Brain_Putamen_basal_ganglia	UBERON_0001874
Brain_Spinal_cord_cervical_c-1	UBERON_0006469
Brain_Substantia_nigra	UBERON_0002038
Breast_Mammary_Tissue	UBERON_0008367
Cells_Cultured_fibroblasts	EFO_0002009
Cells_EBV-transformed_lymphocytes	EFO_0000572
Colon_Sigmoid	UBERON_0001159
Colon_Transverse	UBERON_0001157
Esophagus_Gastroesophageal_Junction	UBERON_0004550
Esophagus_Mucosa	UBERON_0006920
Esophagus_Muscularis	UBERON_0004648
Heart_Atrial_Appendage	UBERON_0006631
Heart_Left_Ventricle	UBERON_0006566
Kidney_Cortex	UBERON_0001225
Liver	UBERON_0001114
Lung	UBERON_0008952
Minor_Salivary_Gland	UBERON_0006330
Muscle_Skeletal	UBERON_0011907
Nerve_Tibial	UBERON_0001323
Ovary	UBERON_0002119
Pancreas	UBERON_0001150
Pituitary	UBERON_0000007
Prostate	UBERON_0002367
Skin_Not_Sun_Exposed_Suprapubic	UBERON_0001416
Skin_Sun_Exposed_Lower_leg	UBERON_0001511
Small_Intestine_Terminal_Ileum	UBERON_0001211
Spleen	UBERON_0002106
Stomach	UBERON_0000945
Testis	UBERON_0000473
Thyroid	UBERON_0002046
Uterus	UBERON_0000995
Vagina	UBERON_0000996
Whole_Blood	UBERON_0013756
Bladder	UBERON_0001255
Blood	UBERON_0013756
Cervix_Ectocervix	UBERON_0012249
Cervix_Endocervix	UBERON_0000458
Fallopian_Tube	UBERON_0003889
